order_number,product_key,customer_key,order_date,ship_date,due_date,sales_amount,quantity,price
SO43697,32,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,9,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,9,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,90,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,9,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,28,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,32,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,6,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,7,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,29,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,29,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,93,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,30,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,31,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,31,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,28,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,32,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,28,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,31,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,28,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,90,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,28,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,29,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,28,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,32,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,29,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,88,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,28,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,28,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,88,3561,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,28,5608,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,30,16667,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,9,239,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,9,14862,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,31,5630,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,5,26,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,29,16578,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,29,16605,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,32,5523,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,9,3,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,28,2262,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,29,607,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,32,2564,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,29,5528,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,32,16672,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,31,2577,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,10,8,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,30,5632,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,28,5515,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
